quality,bitrate_bit_na_piksel,MSE,PSNR_dB
5,0.23140462239583334,268.4559843275282,23.84207271319052
10,0.3210652669270833,134.2323718600803,26.852230967128733
15,0.3975423177083333,90.19158681233723,28.579143329865836
20,0.4638671875,69.50801425509982,29.710454793554128
25,0.5254313151041666,57.19225311279297,30.55743154770996
30,0.5815022786458334,49.18628184000651,31.21236366879421
35,0.6349080403645834,43.58154805501302,31.737777081607682
40,0.6798095703125,39.68678622775607,32.14434429006901
45,0.7301025390625,35.900539822048614,32.579793819281896
50,0.77294921875,33.007987128363716,32.94461319594193
55,0.8179728190104166,30.32998318142361,33.31208191382072
60,0.8736572265625,27.728668212890625,33.70151349626948
65,0.9467976888020834,25.066695319281685,34.13983278573105
70,1.0340169270833333,22.279202779134113,34.65180714528581
75,1.1409912109375,19.375228881835938,35.25833519287951
80,1.3145345052083333,16.163467407226562,36.045458290399694
85,1.5629069010416667,12.74557834201389,37.07720814115064
90,1.99688720703125,9.08117930094401,38.549381102944345
95,2.9240519205729165,5.362790425618489,40.83689535520702
100,6.221964518229167,2.236566331651476,44.634985779465254
